id,context,chars,source_text,translation
"ui.journal.smartCaptionIdeas","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",21,"✨ Smart caption ideas",""
"ui.journal.saveCaption","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",12,"Save Caption",""
"ui.journal.tapToAddACaption","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",26,"Tap to add a caption... ✏️",""
"ui.journal.getSmartCaptionIdeas","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",25,"✨ Get smart caption ideas",""
"ui.journal.day2","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",5,"⏳ Day",""
"ui.journal.sincePlanting","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",14,"since planting",""
"ui.journal.tapToExpandAddCaption","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",54,"Tap to expand, add caption, or get smart suggestions ✨",""
"ui.journal.collapse","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",10,"▲ Collapse",""
"ui.journal.tapToExpand","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",15,"▼ Tap to expand",""
"ui.journal.tryAdjustingYourSearchOr2","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",37,"Try adjusting your search or filters.",""
"ui.journal.gardenJournal","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",17,"📸 Garden Journal",""
"ui.journal.thrivingNearYou","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",20,"🌍 Thriving Near You",""
"ui.journal.harvest","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",10,"🚜 Harvest",""
"ui.journal.goal","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",7,"🎯 Goal",""
"ui.journal.recipes","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",11,"🍽️ Recipes",""
"ui.journal.storage","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",10,"🧊 Storage",""
"ui.journal.journalTools","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",16,"📓 Journal Tools",""
"ui.journal.timelapse","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",13,"🎞️ Timelapse",""
"ui.journal.soilTest","Interface copy (journal screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",12,"🧫 Soil Test",""
"ui.myGardenToday.todaysGardenPlan","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",22,"📋 TODAY'S GARDEN PLAN",""
"ui.myGardenToday.dailyGardenTasks","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",18,"Daily garden tasks",""
"ui.myGardenToday.allTasksCompleteYourGarden","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",48,"🌟 All tasks complete — your garden is thriving!",""
"ui.myGardenToday.allPlantsWatered","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",19,"All plants watered!",""
"ui.myGardenToday.rainMayHelpCheckSoil","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",42,"Rain may help — check soil before watering",""
"ui.myGardenToday.tapToGoToPlants","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",25,"Tap to go to Plants tab →",""
"ui.myGardenToday.readyToHarvest","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",17,"ready to harvest!",""
"ui.myGardenToday.harvestNowForPeakFlavor","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",56,"Harvest now for peak flavor and to keep plants producing",""
"ui.myGardenToday.tapToGoToGarden","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",25,"Tap to go to Garden tab →",""
"ui.myGardenToday.dueForFertilizer","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",18,"due for fertilizer",""
"ui.myGardenToday.itsBeen14DaysSince","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",57,"It's been 14+ days since last feeding — time to fertilize",""
"ui.myGardenToday.uploadingPhoto","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",16,"Uploading photo…",""
"ui.myGardenToday.addAGardenPhoto","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",18,"Add a garden photo",""
"ui.myGardenToday.yourGardenStoryIsGrowing","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",42,"Your garden story is growing — great work!",""
"ui.myGardenToday.documentYourGardensProgressWith","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",44,"Document your garden's progress with a photo",""
"ui.myGardenToday.tapToAddAPhoto","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",20,"Tap to add a photo →",""
"ui.myGardenToday.seasonalTip","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",15,"💡 Seasonal Tip",""
"ui.myGardenToday.noPlantsSavedYet","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",19,"No plants saved yet",""
"ui.myGardenToday.browseThePlantsTabAnd","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",77,"Browse the Plants tab and save your first plant to start tracking your garden",""
"ui.myGardenToday.plantThisMonth","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",17,"Plant this month:",""
"ui.myGardenToday.aStrongPickForYour","Interface copy (myGardenToday screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",65,"A strong pick for your zone right now — tap to see the care guide",""
"ui.fertilizerIntelligence.feedingGuide","Interface copy (fertilizerIntelligence screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",13,"Feeding Guide",""
"ui.fertilizerIntelligence.fertilizerType","Interface copy (fertilizerIntelligence screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",15,"Fertilizer Type",""
"ui.fertilizerIntelligence.bestTime","Interface copy (fertilizerIntelligence screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",9,"Best Time",""
"ui.fertilizerIntelligence.whatToBuy","Interface copy (fertilizerIntelligence screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",11,"What to Buy",""
"ui.fertilizerIntelligence.proTip","Interface copy (fertilizerIntelligence screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",10,"💡 Pro Tip",""
"ui.fertilizerIntelligence.plantsDueForFeeding","Interface copy (fertilizerIntelligence screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",25,"🪴 Plants due for feeding",""
"ui.guildTemplates.provenPlantCombosThatGrow","Interface copy (guildTemplates screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",103,"Proven plant combos that grow better together. Tap a combo to see its plants and add the ones you want.",""
"ui.guildTemplates.plants","Interface copy (guildTemplates screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",8,"plants ·",""
"ui.guildTemplates.inYourGarden","Interface copy (guildTemplates screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",14,"in your garden",""
"ui.guildTemplates.showMoreCombos","Interface copy (guildTemplates screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",18,"Show more combos (",""
"ui.guildTemplates.more","Interface copy (guildTemplates screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",5,"more)",""
"ui.gardenToolkit.fullyEquipped","Interface copy (gardenToolkit screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",18,"🎉 Fully equipped!",""
"ui.gardenToolkit.shop","Interface copy (gardenToolkit screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",6,"Shop ›",""
"ui.gardenToolkit.youAlreadyHave","Interface copy (gardenToolkit screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",16,"you already have",""
"ui.harvestRecipes.saveOrHarvestAFew","Interface copy (harvestRecipes screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",97,"Save or harvest a few edible crops and this card will suggest simple ways to cook and enjoy them.",""
"ui.harvestRecipes.freshFromYourGardenQuick","Interface copy (harvestRecipes screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",52,"Fresh from your garden — quick ideas for what you're",""
"ui.harvestRecipes.tapToFindRecipes","Interface copy (harvestRecipes screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",22,". Tap to find recipes.",""
"ui.harvestRecipes.recipesEasy","Interface copy (harvestRecipes screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",12,"recipes easy",""
"ui.harvestRecipes.recipes","Interface copy (harvestRecipes screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",9,"Recipes ›",""
"ui.soilCareLog.totalLogs","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",10,"Total Logs",""
"ui.soilCareLog.thisMonth","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",10,"This Month",""
"ui.soilCareLog.plantsTracked","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",14,"Plants Tracked",""
"ui.soilCareLog.topAction","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",10,"Top Action",""
"ui.soilCareLog.last","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",5,"Last:",""
"ui.soilCareLog.wholeGarden","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",12,"whole garden",""
"ui.soilCareLog.cancel","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",8,"✕ Cancel",""
"ui.soilCareLog.logCareAction","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",17,"＋ Log Care Action",""
"ui.soilCareLog.whichPlant","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",12,"Which plant?",""
"ui.soilCareLog.wholeGarden2","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",15,"🌍 Whole Garden",""
"ui.soilCareLog.whatDidYouDo","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",16,"What did you do?",""
"ui.soilCareLog.addANoteOptional","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",21,"Add a note (optional)",""
"ui.soilCareLog.egUsedOrganicNeemOil","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",63,"e.g. Used organic neem oil, pH was 6.5, added 2 cups compost...",""
"ui.soilCareLog.logCareEntry","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",16,"✅ Log Care Entry",""
"ui.soilCareLog.calendar","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",11,"📅 Calendar",""
"ui.soilCareLog.timeline","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",11,"📋 Timeline",""
"ui.soilCareLog.today","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",8,"📅 Today",""
"ui.soilCareLog.all","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",6,"🌿 All",""
"ui.soilCareLog.garden","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",9,"🌍 Garden",""
"ui.soilCareLog.t120000","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",9,"T12:00:00",""
"ui.soilCareLog.noCareLoggedForThis","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",51,"No care logged for this day. Tap ＋ to add an entry.",""
"ui.soilCareLog.noCareEntriesYetTap","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",52,"No care entries yet. Tap ＋ to log your first action!",""
"ui.soilCareLog.noCareLoggedYet","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",18,"No care logged yet",""
"ui.soilCareLog.tapAboveToLogYour","Interface copy (soilCareLog screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",104,"Tap ＋ above to log your first care action. Track compost, repotting, pest treatment, pH tests, and more.",""
"ui.gardenStatsDashboard.xp","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",4,"XP •",""
"ui.gardenStatsDashboard.toNextLevel","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",13,"to next level",""
"ui.gardenStatsDashboard.consistencyBonus","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",17,"consistency bonus",""
"ui.gardenStatsDashboard.plants","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",9,"🌱 PLANTS",""
"ui.gardenStatsDashboard.inGardenMap","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",13,"in garden map",""
"ui.gardenStatsDashboard.watering","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",11,"💧 WATERING",""
"ui.gardenStatsDashboard.wateredToday","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",13,"Watered Today",""
"ui.gardenStatsDashboard.totalWaterings","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",15,"total waterings",""
"ui.gardenStatsDashboard.journal","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",10,"📸 JOURNAL",""
"ui.gardenStatsDashboard.totalPhotos","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",12,"Total Photos",""
"ui.gardenStatsDashboard.thisMonth","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",10,"this month",""
"ui.gardenStatsDashboard.harvest","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",10,"🚜 HARVEST",""
"ui.gardenStatsDashboard.toHarvest","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",10,"To harvest",""
"ui.gardenStatsDashboard.plantsTracked","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",14,"plants tracked",""
"ui.gardenStatsDashboard.needWatering","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",13,"need watering",""
"ui.gardenStatsDashboard.tapToOpenThePlants","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",38,"Tap to open the Plants tab and water →",""
"ui.gardenStatsDashboard.waterAllPlantsThatNeed","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",38,"Water all plants that need water today",""
"ui.gardenStatsDashboard.waterAll","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",12,"💧 Water all",""
"ui.gardenStatsDashboard.readyToHarvest","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",17,"ready to harvest!",""
"ui.gardenStatsDashboard.checkYourPlantCardsTo","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",39,"Check your plant cards to harvest today",""
"ui.gardenStatsDashboard.dueForFertilizer","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",18,"due for fertilizer",""
"ui.gardenStatsDashboard.itsBeen14DaysSince","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",37,"It's been 14+ days since last feeding",""
"ui.gardenStatsDashboard.gardenHasCompanionConflicts","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",30,"Garden has companion conflicts",""
"ui.gardenStatsDashboard.checkTheGardenTabTo","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",42,"Check the Garden tab to fix plant pairings",""
"ui.gardenStatsDashboard.saveYourFirstPlantTo","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",36,"Save your first plant to get started",""
"ui.gardenStatsDashboard.browseThePlantsTabAnd","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",47,"Browse the Plants tab and tap Save on any plant",""
"ui.gardenStatsDashboard.photosLogged","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",13,"Photos Logged",""
"ui.gardenStatsDashboard.plantsDocumented","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",17,"Plants Documented",""
"ui.gardenStatsDashboard.thisMonth2","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",10,"This Month",""
"ui.gardenStatsDashboard.thisWeeksMomentum","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",20,"This week's momentum",""
"ui.gardenStatsDashboard.myPocketPlanterGardenThis","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",38,"🌱 My Pocket Planter garden this week:",""
"ui.gardenStatsDashboard.growingSmarterWithPocketPlanter","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",38,"Growing smarter with Pocket Planter 🌿",""
"ui.gardenStatsDashboard.shareMyGardenWeek","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",20,"Share my garden week",""
"ui.gardenStatsDashboard.shareMyGardenWeek2","Interface copy (gardenStatsDashboard screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",23,"📸 Share my garden week",""
"ui.onboarding.setMyZone","Interface copy (onboarding screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",14,"Set My Zone 🌿",""
"ui.onboarding.next","Interface copy (onboarding screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",6,"Next →",""
"ui.onboarding.skipForNow","Interface copy (onboarding screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",12,"Skip for now",""
"ui.accountCloud.notSignedIn","Interface copy (accountCloud screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",13,"Not signed in",""
"ui.accountCloud.premiumStatus","Interface copy (accountCloud screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",14,"Premium Status",""
"ui.accountCloud.active","Interface copy (accountCloud screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",8,"Active ✅",""
"ui.accountCloud.savedPlants","Interface copy (accountCloud screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",12,"Saved Plants",""
"ui.accountCloud.journalPhotos","Interface copy (accountCloud screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",14,"Journal Photos",""
"ui.accountCloud.gardenPlots","Interface copy (accountCloud screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",12,"Garden Plots",""
"ui.accountCloud.memberSince","Interface copy (accountCloud screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",12,"Member Since",""
"ui.accountCloud.lastCloudSync","Interface copy (accountCloud screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",15,"Last Cloud Sync",""
"ui.accountCloud.changeEmail","Interface copy (accountCloud screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",12,"Change Email",""
"ui.accountCloud.newEmailAddress","Interface copy (accountCloud screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",17,"New email address",""
"ui.accountCloud.sendEmailChangeConfirmation","Interface copy (accountCloud screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",30,"Send Email Change Confirmation",""
"ui.accountCloud.sendPasswordResetEmail","Interface copy (accountCloud screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",25,"Send Password Reset Email",""
"ui.accountCloud.logOut","Interface copy (accountCloud screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",10,"🚪 Log Out",""
"ui.accountCloud.deleteAccount","Interface copy (accountCloud screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",17,"🗑 Delete Account",""
"ui.harvestStorageGuide.saveOrHarvestAFew","Interface copy (harvestStorageGuide screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",107,"Save or harvest a few crops and you'll get storage tips — how to keep each one fresh and how long it lasts.",""
"ui.harvestStorageGuide.keepYourHarvestFreshLonger","Interface copy (harvestStorageGuide screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",57,"Keep your harvest fresh longer — how to store what you're",""
"ui.home.tomorrowNight","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",14,"tomorrow night",""
"ui.home.tonight","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",10,"❄️ Tonight",""
"ui.home.n1NightAway","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",15,"❄️ 1 night away",""
"ui.home.frostExpected","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",14,"Frost expected",""
"ui.home.lowOf","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",6,"Low of",""
"ui.home.comingCoverTenderPlantsMove","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",88,"coming — cover tender plants, move containers to shelter, and hold off on transplanting.",""
"ui.home.extremeHeatToday","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",18,"Extreme heat today",""
"ui.home.highOf","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",7,"High of",""
"ui.home.waterBefore9AmShade","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",81,"— water before 9 AM, shade young plants, add mulch, and skip transplanting today.",""
"ui.home.wateringSkippedToday","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",22,"Watering skipped today",""
"ui.home.chanceOfRainPocketPlanter","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",130,"% chance of rain — Pocket Planter is skipping today's watering reminder so you don't overwater. Check soil before watering anyway.",""
"ui.home.whatsNew","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",12,"✨ WHAT'S NEW",""
"ui.home.freshUpdates","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",16,"Fresh updates 🌱",""
"ui.home.gotIt","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",9,"Got it 🌿",""
"ui.home.searchPlantsPestsAndJournal","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",33,"Search plants, pests, and journal",""
"ui.home.searchPlantsPestsJournal","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",30,"Search plants, pests, journal…",""
"ui.home.gardenDashboard","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",19,"🌱 Garden Dashboard",""
"ui.home.plantPick","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",13,"🌟 Plant Pick",""
"ui.home.showFrostDatesCard","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",24,"❄️ Show frost dates card",""
"ui.home.daylightToday","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",17,"☀️ Daylight Today",""
"ui.home.thisMonth","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",14,"🗓️ This Month",""
"ui.home.pestWatch","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",13,"🐛 Pest Watch",""
"ui.home.plantingSowingFrost","Interface copy (home screen). Keep it short and idiomatic — this appears on a button, label or heading with limited room, so match the English length where you can.",27,"🌱 Planting, Sowing & Frost",""
